**** Lasso ****

Terrain cut 1


polynomial = 30 
lambda = 5.689866029018282e-05


Parameters with uncertainties
2.765568  +/-  87186.225616
-2.272223  +/-  3824079.560089
1.529877  +/-  3825005.273761
-1.872948  +/-  69025872.286802
-0.702105  +/-  57176790.406622
0.227367  +/-  69113735.455516
0.279377  +/-  588721776.92434
-0.86757  +/-  511593687.666126
-0.846621  +/-  511300743.428854
-0.340658  +/-  590517407.635371
1.120897  +/-  2674249206.600508
-0.074056  +/-  2587927847.187822
-0.426825  +/-  2427858204.980256
-0.660723  +/-  2586854420.448519
-0.584021  +/-  2690448637.899878
0.699505  +/-  6689228612.50892
0.668707  +/-  7453044699.600251
0.172733  +/-  6895891687.625222
-0.130367  +/-  6877877541.422278
-0.453314  +/-  7461358292.394004
-0.639751  +/-  6764495812.909854
-0.083296  +/-  8595040683.183609
0.928102  +/-  11488468745.345322
0.520402  +/-  10601922288.492546
0.277882  +/-  10552089670.061312
0.045435  +/-  10539620242.508263
-0.262038  +/-  11543117782.273638
-0.595264  +/-  8751708870.207739
-0.620643  +/-  4484475663.01649
0.725991  +/-  7088304813.847512
0.568184  +/-  6978520770.217526
0.436979  +/-  7751761732.575747
0.314634  +/-  7534158059.701454
0.157707  +/-  6989926987.240568
-0.105557  +/-  7163006110.362386
-0.508906  +/-  4439855393.861965
-0.749272  +/-  5434424184.52647
0.279237  +/-  5763429111.677928
0.412939  +/-  6872313408.261694
0.403023  +/-  6186366047.409691
0.369685  +/-  6010120790.23681
0.32012  +/-  6161672641.771432
0.225703  +/-  6834640019.022854
0.009897  +/-  5729738962.310125
-0.412726  +/-  6068667350.606993
-0.568338  +/-  3637265731.984294
-0.182838  +/-  4279095992.06586
0.171257  +/-  3976519851.38417
0.267893  +/-  7263635196.803526
0.299761  +/-  7560270251.796073
0.312522  +/-  7618249245.936943
0.308205  +/-  7105323926.679321
0.261077  +/-  3911570352.187738
0.093298  +/-  4406090215.692654
-0.327741  +/-  4144681233.467273
-0.252265  +/-  5405759340.428061
-0.52668  +/-  5494256339.087709
-0.045899  +/-  6493567966.026443
0.097251  +/-  5862804212.023522
0.178733  +/-  6543570364.696843
0.225267  +/-  5908191230.553618
0.261278  +/-  6606826249.633876
0.284984  +/-  5841031757.03898
0.272338  +/-  6428209922.86019
0.146427  +/-  5344986113.732809
-0.256726  +/-  5342790510.660012
0.057118  +/-  3596792410.697545
-0.691864  +/-  3246942750.579956
-0.208264  +/-  2991345293.574864
-0.035362  +/-  5110844195.21734
0.043043  +/-  4668405431.367745
0.115648  +/-  6302858922.53864
0.16672  +/-  6196725103.775451
0.214184  +/-  4803040209.932899
0.254901  +/-  5220884869.77062
0.26695  +/-  3019436441.883198
0.176394  +/-  3196145729.399848
-0.199739  +/-  3267595148.606902
0.28564  +/-  4087400531.737502
-0.695471  +/-  3943589816.082612
-0.293067  +/-  4774022230.0453
-0.135486  +/-  4183021171.09576
-0.046729  +/-  5322909105.255631
0.001276  +/-  6558233215.163206
0.067908  +/-  4423921084.547438
0.118867  +/-  6772852081.420872
0.171195  +/-  5166451452.254695
0.221806  +/-  4122084122.40995
0.251306  +/-  4760673234.609106
