**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.0011513953993264434


Parameters with uncertainties
11.182047  +/-  0.0
8.861227  +/-  0.0
-5.47763  +/-  0.0
1.756407  +/-  0.0
0.851856  +/-  0.0
-1.542057  +/-  0.0
0.044062  +/-  1e-06
2.289739  +/-  0.0
-1.172392  +/-  0.0
-0.896007  +/-  1e-06
-0.566057  +/-  2e-06
2.257929  +/-  2e-06
-0.276139  +/-  1e-06
-1.371192  +/-  2e-06
-0.279437  +/-  2e-06
-1.036484  +/-  6e-06
2.260929  +/-  4e-06
-0.0  +/-  4e-06
-0.946288  +/-  4e-06
-1.02909  +/-  4e-06
-0.0  +/-  6e-06
-1.071374  +/-  8e-06
2.186205  +/-  7e-06
0.0  +/-  6e-06
-0.500524  +/-  5e-06
-0.973256  +/-  6e-06
-0.686342  +/-  7e-06
0.0  +/-  8e-06
-1.023416  +/-  2e-06
2.161222  +/-  5e-06
0.0  +/-  5e-06
-0.14952  +/-  9e-06
-0.857086  +/-  9e-06
-0.690706  +/-  5e-06
-0.339774  +/-  5e-06
0.045278  +/-  2e-06
-1.040558  +/-  6e-06
2.055863  +/-  5e-06
0.0  +/-  7e-06
-0.0  +/-  8e-06
-0.793965  +/-  7e-06
-0.670764  +/-  8e-06
-0.426963  +/-  7e-06
-0.08144  +/-  5e-06
0.145734  +/-  6e-06
-0.974009  +/-  2e-06
1.920847  +/-  4e-06
0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.751898  +/-  6e-06
-0.698005  +/-  6e-06
-0.484506  +/-  4e-06
-0.239291  +/-  4e-06
-0.0  +/-  4e-06
0.192931  +/-  2e-06
-0.83347  +/-  4e-06
1.871564  +/-  5e-06
0.0  +/-  5e-06
-0.0  +/-  5e-06
-0.644881  +/-  6e-06
-0.722533  +/-  5e-06
-0.523746  +/-  6e-06
-0.312964  +/-  5e-06
-0.099536  +/-  5e-06
-0.0  +/-  5e-06
0.215763  +/-  4e-06
-0.762382  +/-  4e-06
1.862397  +/-  4e-06
0.063838  +/-  4e-06
-0.0  +/-  4e-06
-0.542249  +/-  4e-06
