**** OLS ****

Terrain cut 4


polynomial = 28 
lambda = 0


Parameters with uncertainties
35.196163  +/-  430.317405
-487.901747  +/-  17536.773916
-50.835401  +/-  17523.817531
8976.255856  +/-  291659.868266
2414.624065  +/-  264593.383404
-868.039085  +/-  291432.796836
-81482.941956  +/-  2368914.062782
-25627.757355  +/-  2283355.06376
-8730.53479  +/-  2280807.036601
11321.17038  +/-  2368237.856632
366260.510742  +/-  10538751.302619
84688.147461  +/-  10870423.247712
94880.504395  +/-  11107683.692352
-17186.763428  +/-  10843774.443193
-54494.299438  +/-  10541803.899016
-825775.282227  +/-  25442840.322772
-145603.882812  +/-  27618927.568554
66537.095215  +/-  32935225.457779
-376637.774414  +/-  32919214.685515
299192.200806  +/-  27526959.401027
103316.730957  +/-  25463919.757245
720149.205078  +/-  27292960.119172
307875.036133  +/-  35283331.6479
-1124934.220703  +/-  57710381.080629
441078.191406  +/-  55999712.884504
439906.738281  +/-  57635888.855485
-829595.082031  +/-  35260055.965686
-22181.1875  +/-  27365588.463831
333303.769043  +/-  8838452.066559
-547135.802734  +/-  31731879.635595
1884259.630859  +/-  53258583.871032
190225.213867  +/-  44245340.192724
-413552.248047  +/-  44256741.434719
16418.913086  +/-  53184418.561815
591307.359375  +/-  31948543.807524
-106067.715698  +/-  8915038.422739
-587145.209961  +/-  22319884.167147
85312.850586  +/-  27105932.199115
-321630.818848  +/-  26393104.94878
381474.987305  +/-  31872842.045526
-144340.382385  +/-  29508507.320018
-200387.816406  +/-  31877394.464821
-73979.5  +/-  26454957.399718
496604.318359  +/-  26880564.466747
-23419.339844  +/-  22114012.761635
-516412.833984  +/-  13708010.857228
510319.087402  +/-  27692457.211648
-892171.215576  +/-  22888735.116186
-1190542.839844  +/-  36621476.095187
-235240.33252  +/-  35729311.934842
445509.246094  +/-  35639509.313291
-126384.1875  +/-  36774391.553202
-162119.705811  +/-  22829123.700593
-277255.742188  +/-  27774141.758703
87358.061035  +/-  13907372.419402
171353.067383  +/-  13353278.220532
228025.710449  +/-  21067896.438573
-297415.035156  +/-  18806658.138653
-389179.279541  +/-  23432154.774232
-622863.785156  +/-  40528582.266963
281485.373047  +/-  47793894.82248
100483.178711  +/-  40710029.068808
78219.106934  +/-  23401125.131072
-104816.836426  +/-  18850204.413844
-536671.535156  +/-  20995028.814982
103765.450684  +/-  13225096.574523
601089.012695  +/-  20406949.672368
-242095.183594  +/-  23668650.470111
200333.388672  +/-  19050474.992027
656577.185547  +/-  33539435.281094
378391.067383  +/-  26936883.124091
242198.425293  +/-  27787878.501227
-283166.775879  +/-  27775721.676507
1876.075195  +/-  26934209.721134
273809.541016  +/-  33497969.173051
43689.469238  +/-  19051137.697009
-234310.438904  +/-  23744730.584385
29120.96582  +/-  20434229.030788
438909.173828  +/-  11678867.026984
-446883.491699  +/-  21370860.682927
338156.785156  +/-  20208659.208294
805688.441406  +/-  26617979.023217
684711.662109  +/-  29616898.655393
813506.830078  +/-  25808569.353168
-184749.28125  +/-  40652052.05068
-387452.981934  +/-  25929877.039029
112590.875  +/-  29497951.821015
235408.53418  +/-  26509270.652845
137344.763672  +/-  20221307.391662
183265.274902  +/-  21310177.485486
