**** Ridge ****

Terrain cut 1


polynomial = 29 
lambda = 7.906043210907669e-12


Parameters with uncertainties
3.278601  +/-  29.8136
1.55504  +/-  1310.395278
-155.658078  +/-  1312.137633
-2056.129577  +/-  24117.370751
3305.354303  +/-  17780.171818
176.436718  +/-  24219.698619
24790.163181  +/-  204193.846688
11323.342748  +/-  167172.223755
-37614.821042  +/-  167251.921882
13785.278732  +/-  205739.891452
-131081.051193  +/-  884488.401082
-197957.766872  +/-  925664.645734
90020.93544  +/-  754062.005893
58257.552895  +/-  927119.691814
-54161.099731  +/-  894755.796492
378083.729614  +/-  1944213.456713
675977.612854  +/-  2874911.937769
125821.237427  +/-  2284119.177686
-113171.808411  +/-  2286981.863756
266974.76062  +/-  2882782.290407
-128909.08252  +/-  1978029.463603
-583484.791748  +/-  1718627.703821
-782739.789917  +/-  4787806.59998
-508679.686432  +/-  3923357.25707
27266.835571  +/-  3465895.368963
-787250.408203  +/-  3932475.724678
-742578.713867  +/-  4804863.127778
922003.760742  +/-  1762388.942088
304214.128387  +/-  1164658.489909
-184698.231476  +/-  3439502.092545
136317.156647  +/-  2984774.867617
-276459.495422  +/-  2472049.654595
908634.071411  +/-  2470968.256477
954451.783081  +/-  2990096.030163
360359.973633  +/-  3445109.762901
-1180854.061279  +/-  1102678.254768
315704.400772  +/-  1393824.53754
709327.850559  +/-  2218297.719989
374367.462799  +/-  2714190.209556
714596.690872  +/-  2314043.792555
308685.521294  +/-  2094763.105356
-823414.250076  +/-  2318588.39584
1053431.803833  +/-  2694065.211072
222656.197754  +/-  2232558.673974
-492732.867188  +/-  1398627.393498
-252963.104492  +/-  1456957.746567
316484.114883  +/-  2194855.849124
150039.813774  +/-  1919429.910576
-202529.32045  +/-  2951540.164292
538671.19986  +/-  3123815.667809
-930045.215088  +/-  3130460.869137
-847218.113037  +/-  2949228.559941
-366995.203278  +/-  1917887.256559
-5796.475098  +/-  2202650.173091
1009291.487793  +/-  1424649.202297
-309919.858017  +/-  766650.992144
-383955.652397  +/-  2050117.693543
-157340.916626  +/-  2668275.690069
-767668.409122  +/-  2432779.282
-409188.971666  +/-  2625860.372051
-3412.687561  +/-  2592204.217103
-352477.312561  +/-  2629946.98743
-47552.513504  +/-  2435531.234122
-1112145.719299  +/-  2648350.923257
-19216.873291  +/-  2070369.95186
939485.157227  +/-  742763.123934
14860.675262  +/-  1441024.376995
-495413.725464  +/-  1462944.739104
-211523.801178  +/-  1167785.474346
-334582.99567  +/-  1850912.523787
-709126.649529  +/-  1605365.412077
91156.773224  +/-  1790649.860887
204349.842224  +/-  1794265.185941
544610.804688  +/-  1595414.084936
590793.751495  +/-  1848742.499431
-811294.635881  +/-  1171434.664626
-40487.732941  +/-  1458162.266993
-190435.612061  +/-  1432668.884328
263961.351418  +/-  1294324.724805
-154403.588356  +/-  1577852.577692
-88207.278835  +/-  2229627.00176
342552.543495  +/-  2003719.238925
-157190.004566  +/-  1782006.950606
163055.777847  +/-  1745619.077282
305777.73851  +/-  2066893.512087
253560.252045  +/-  1749477.227303
722455.948303  +/-  1782928.053196
751665.861633  +/-  2012154.561031
-85127.301483  +/-  2231834.624961
