**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.002442053094548645


Parameters with uncertainties
12.390058  +/-  9142.645579
2.336193  +/-  379569.920596
-3.180904  +/-  379488.942223
4.291233  +/-  6743900.11588
-1.097262  +/-  4895745.580871
-2.528082  +/-  6742540.516313
2.714998  +/-  57781355.823574
1.40554  +/-  39257380.930684
-1.204317  +/-  39254918.261622
-1.58812  +/-  57782392.348801
0.346946  +/-  265656575.187819
2.632728  +/-  176646408.115538
-0.03726  +/-  159623229.919373
-0.919216  +/-  176613482.997626
-0.857013  +/-  265780682.743164
-1.123669  +/-  666126470.224617
2.700216  +/-  460557663.624722
0.213439  +/-  420812269.189537
-0.282754  +/-  420878457.855473
-0.577585  +/-  460138824.550554
-0.351489  +/-  667033429.119507
-1.593505  +/-  799187734.547263
2.335759  +/-  702121883.270218
0.14134  +/-  645738097.644715
-0.179422  +/-  528102401.546154
-0.447322  +/-  647739578.1487
-0.286402  +/-  701733827.423245
-0.031028  +/-  802328042.892086
-1.43191  +/-  221070477.299668
1.9281  +/-  481044107.229202
0.0  +/-  580354287.89763
-0.316084  +/-  969232973.439737
-0.526986  +/-  967942296.078985
-0.33676  +/-  577885423.973645
-0.0671  +/-  481462329.14857
0.084725  +/-  223416838.171732
-1.053991  +/-  609361899.980713
1.710088  +/-  571621173.094456
-0.0  +/-  775121205.479177
-0.548292  +/-  815791604.398568
-0.647252  +/-  756347969.170613
-0.45671  +/-  816381954.784028
-0.182816  +/-  776407504.909315
0.0  +/-  572503889.567475
0.235707  +/-  604477133.589419
-0.781028  +/-  219329120.678213
1.666445  +/-  396236151.77336
-0.0  +/-  466868282.020964
-0.653103  +/-  404475749.697667
-0.757603  +/-  630621403.504863
-0.587048  +/-  629028849.989952
-0.334312  +/-  405201390.376215
-0.059637  +/-  463662458.048102
0.0  +/-  396519210.965754
0.29744  +/-  219256032.029282
-0.610351  +/-  476124710.591543
1.765267  +/-  554949661.873417
-0.0  +/-  490934039.276659
-0.587604  +/-  514998045.318521
-0.819136  +/-  609912145.505076
-0.678934  +/-  563613059.14638
