**** Lasso ****

Terrain cut 1


polynomial = 30 
lambda = 0.00025595479226995333


Parameters with uncertainties
8.192506  +/-  0.0
-8.722757  +/-  0.0
-0.553611  +/-  0.0
0.507308  +/-  0.0
-1.147868  +/-  0.0
-1.553225  +/-  0.0
0.884204  +/-  0.0
0.991322  +/-  0.0
-0.640043  +/-  0.0
-1.216762  +/-  0.0
-0.032563  +/-  1e-06
1.739348  +/-  1e-06
0.31883  +/-  1e-06
-0.311221  +/-  1e-06
-1.036403  +/-  1e-06
-0.808469  +/-  2e-06
1.627282  +/-  2e-06
0.744832  +/-  2e-06
0.276106  +/-  2e-06
-0.090922  +/-  2e-06
-0.891678  +/-  2e-06
-1.06077  +/-  3e-06
1.01848  +/-  4e-06
0.74834  +/-  3e-06
0.516412  +/-  3e-06
0.304045  +/-  3e-06
0.0  +/-  4e-06
-0.702885  +/-  3e-06
-0.900316  +/-  1e-06
0.287796  +/-  2e-06
0.539915  +/-  2e-06
0.493563  +/-  2e-06
0.43356  +/-  2e-06
0.335708  +/-  2e-06
0.080588  +/-  2e-06
-0.5413  +/-  1e-06
-0.542328  +/-  2e-06
-0.208366  +/-  2e-06
0.103847  +/-  2e-06
0.356263  +/-  2e-06
0.380931  +/-  2e-06
0.388357  +/-  2e-06
0.357202  +/-  2e-06
0.173979  +/-  2e-06
-0.415937  +/-  2e-06
-0.159476  +/-  1e-06
-0.634771  +/-  1e-06
-0.0  +/-  1e-06
0.000794  +/-  2e-06
0.252494  +/-  2e-06
0.303034  +/-  2e-06
0.346044  +/-  2e-06
0.359489  +/-  1e-06
0.235051  +/-  1e-06
-0.307469  +/-  1e-06
0.089195  +/-  2e-06
-0.708442  +/-  2e-06
-0.198021  +/-  2e-06
-0.0  +/-  2e-06
0.0  +/-  2e-06
0.075792  +/-  2e-06
0.238573  +/-  2e-06
0.302049  +/-  2e-06
0.345913  +/-  2e-06
0.268757  +/-  2e-06
-0.219707  +/-  2e-06
0.360349  +/-  1e-06
-0.729352  +/-  1e-06
-0.307213  +/-  1e-06
-0.115705  +/-  2e-06
-0.01679  +/-  1e-06
-0.0  +/-  2e-06
0.0  +/-  2e-06
0.135052  +/-  2e-06
0.261777  +/-  2e-06
0.326048  +/-  1e-06
0.286721  +/-  1e-06
-0.146407  +/-  1e-06
0.486133  +/-  1e-06
-0.605366  +/-  1e-06
-0.337361  +/-  2e-06
-0.1857  +/-  1e-06
-0.102771  +/-  2e-06
-0.042263  +/-  2e-06
-0.0  +/-  1e-06
-0.0  +/-  2e-06
0.0  +/-  2e-06
0.217176  +/-  1e-06
0.299747  +/-  2e-06
0.289741  +/-  1e-06
-0.090286  +/-  1e-06
0.504238  +/-  1e-06
-0.400838  +/-  1e-06
-0.307006  +/-  2e-06
-0.208949  +/-  2e-06
-0.150751  +/-  2e-06
-0.105564  +/-  2e-06
-0.06334  +/-  2e-06
-0.018011  +/-  2e-06
-0.0  +/-  2e-06
0.0  +/-  2e-06
0.09043  +/-  2e-06
0.271422  +/-  2e-06
0.283348  +/-  1e-06
-0.048547  +/-  1e-06
0.442949  +/-  1e-06
-0.173085  +/-  1e-06
-0.238939  +/-  1e-06
