**** OLS ****

Terrain cut 1


polynomial = 28 
lambda = 0


Parameters with uncertainties
3.473604  +/-  9.624919
-3.726461  +/-  392.245397
-123.746495  +/-  391.955602
-1833.826306  +/-  6523.562512
3863.98054  +/-  5918.165866
-1474.956348  +/-  6518.4836
17595.083402  +/-  52985.551509
13029.744648  +/-  51071.851548
-42150.028883  +/-  51014.85977
37457.4282  +/-  52970.426792
-60970.99239  +/-  235720.47579
-266770.565147  +/-  243138.98928
148276.944756  +/-  248445.79872
47433.453905  +/-  242542.934899
-217161.568176  +/-  235788.753279
87251.654144  +/-  569080.553675
990439.997238  +/-  617753.143644
93660.569885  +/-  736662.892239
-282685.976364  +/-  736304.778953
349092.922119  +/-  615696.089674
487475.528076  +/-  569552.037837
-44398.224403  +/-  610462.222732
-1289767.263977  +/-  789183.033615
-1041094.896362  +/-  1290809.32795
595207.969788  +/-  1252546.775819
-864356.384644  +/-  1289143.158757
-746159.319366  +/-  788662.425933
-319546.471741  +/-  612086.702471
32065.708626  +/-  197689.846411
7165.188721  +/-  709747.630496
1060453.81839  +/-  1191235.884547
-255952.327087  +/-  989636.470418
171783.777496  +/-  989891.482241
1601045.238953  +/-  1189577.02749
-74633.373871  +/-  714593.762664
-217401.741211  +/-  199402.855078
-42272.318497  +/-  499229.326548
869797.208015  +/-  606278.965244
347973.317917  +/-  590335.14289
334777.97168  +/-  712900.539734
340855.810898  +/-  660017.41436
-490556.962296  +/-  713002.363794
487699.694275  +/-  591718.597983
688895.421974  +/-  601238.160354
76256.782898  +/-  494624.596418
-65969.922829  +/-  306607.372033
327651.325104  +/-  619397.782744
-274414.151577  +/-  511952.827892
-883866.470963  +/-  819113.339088
814959.62323  +/-  799158.284231
-460496.966827  +/-  797149.667074
-1209138.684204  +/-  822533.602408
-432130.186371  +/-  510619.498084
315551.596725  +/-  621224.822755
186515.991058  +/-  311066.496358
21278.937271  +/-  298673.059561
-412693.874535  +/-  471226.090245
-358763.206047  +/-  420648.924827
-561479.804153  +/-  524107.507006
-442914.961975  +/-  906503.666398
429247.789124  +/-  1069007.067719
-858495.143677  +/-  910562.090895
55933.467758  +/-  523413.466314
-839211.832779  +/-  421622.925296
-322461.264816  +/-  469596.25855
173784.526367  +/-  295806.017943
98655.235207  +/-  456442.679789
-575685.685677  +/-  529397.211294
-210972.91613  +/-  426102.381602
320959.855217  +/-  750177.26628
-345764.712982  +/-  602497.840967
-140488.737099  +/-  621532.072769
4727.022079  +/-  621260.16081
339708.86393  +/-  602438.044906
1014396.559875  +/-  749249.792954
-781457.075012  +/-  426117.204338
-470166.481613  +/-  531098.896837
53137.40979  +/-  457052.837783
79136.917091  +/-  261221.468582
-242143.74614  +/-  478002.497979
-19179.90064  +/-  452007.512738
708760.800327  +/-  595364.906122
87516.774902  +/-  662441.805677
157906.004272  +/-  577260.822721
-298128.743835  +/-  909265.317691
520738.399338  +/-  579974.114325
836499.422729  +/-  659781.319288
944742.399734  +/-  592933.423677
-309657.200497  +/-  452290.414926
-148139.713196  +/-  476645.195604
-105366.603943  +/-  263399.550996
-11730.891445  +/-  226233.818648
192763.081879  +/-  406922.399121
130947.551224  +/-  349585.724431
