**** Ridge ****

Terrain cut 4


polynomial = 28 
lambda = 3.727593720314938e-12


Parameters with uncertainties
35.248193  +/-  13.877762
-386.675918  +/-  565.562021
-96.242973  +/-  565.144177
5714.073578  +/-  9406.048417
3052.773872  +/-  8533.15264
-120.906631  +/-  9398.725349
-45645.280273  +/-  76397.622003
-24338.102417  +/-  73638.339102
-19256.973877  +/-  73556.165072
7081.854248  +/-  76375.814314
185636.783203  +/-  339875.367811
26396.881836  +/-  350571.808128
137539.95166  +/-  358223.471838
42413.276367  +/-  349712.382568
-48913.800537  +/-  339973.814229
-389437.273438  +/-  820533.141407
222692.875  +/-  890712.086883
-58721.001953  +/-  1062163.015803
-488870.197266  +/-  1061646.667428
118335.244141  +/-  887746.10791
134173.609375  +/-  821212.954446
328768.3125  +/-  880199.616897
-661521.382812  +/-  1137889.582652
-890679.261719  +/-  1861163.285198
547250.433594  +/-  1805994.132263
614101.796875  +/-  1858760.906425
-567039.773438  +/-  1137138.940491
-141110.193359  +/-  882541.885412
136260.125  +/-  285040.614466
434097.0  +/-  1023355.040154
1576199.722656  +/-  1717592.555556
109210.652344  +/-  1426914.901025
-267665.3125  +/-  1427282.59177
-78642.277344  +/-  1715200.719842
485087.888672  +/-  1030342.472822
8618.428223  +/-  287510.529091
-259209.888672  +/-  719817.61624
253385.703125  +/-  874167.955148
179918.289062  +/-  851179.233151
173572.473633  +/-  1027901.086412
-345045.648438  +/-  951651.148314
-306040.591797  +/-  1028047.90221
-280575.739258  +/-  853173.97844
415602.501953  +/-  866899.832129
40500.858398  +/-  713178.250943
-205332.871094  +/-  442084.180399
-119633.464844  +/-  893083.422326
-1251309.160156  +/-  738163.0938
-629439.847656  +/-  1181044.822125
-526540.498047  +/-  1152272.473918
582126.405273  +/-  1149376.333934
-275364.545898  +/-  1185976.354907
-14589.697266  +/-  736240.622037
-265129.438477  +/-  895717.753916
-6480.15625  +/-  448513.602854
86210.755859  +/-  430644.031381
-105741.3125  +/-  679440.936164
-793825.578125  +/-  606515.864035
-475777.222656  +/-  755688.410686
-306830.787109  +/-  1307049.232806
299046.362793  +/-  1541356.00276
352063.527344  +/-  1312900.903156
82600.874512  +/-  754687.702814
143167.166992  +/-  607920.234048
-508487.863281  +/-  677090.95089
14413.779785  +/-  426510.165534
239759.552734  +/-  658125.362923
-10699.501953  +/-  763315.411201
351235.732422  +/-  614378.972324
372877.121094  +/-  1081648.8192
259142.328125  +/-  868716.11224
487765.607422  +/-  896160.764695
-252740.828125  +/-  895768.706361
147814.837891  +/-  868629.894832
285596.34668  +/-  1080311.534704
96028.064697  +/-  614400.3446
-223246.43335  +/-  765768.999495
46128.578613  +/-  659005.123884
164871.824219  +/-  376644.168975
-27749.171875  +/-  689211.551394
920042.160156  +/-  651730.483446
836739.976562  +/-  858431.435671
519963.408691  +/-  955146.775445
617756.1875  +/-  832327.924789
-72843.771484  +/-  1311031.140809
-499845.34375  +/-  836240.105005
81897.69043  +/-  951310.732832
192263.107422  +/-  854925.584143
-786.760254  +/-  652138.388126
197185.146484  +/-  687254.514602
30174.762695  +/-  379784.653734
-12095.408203  +/-  326196.958777
-124577.142578  +/-  586724.168139
